targetId,comparatorId,outcomeId,outcomeName,type
2695,2696,434165,Abnormal cervical smear,outcome
2695,2696,436409,Abnormal pupil,outcome
2695,2696,199192,Abrasion and/or friction burn of trunk without infection,outcome
2695,2696,4088290,Absence of breast,outcome
2695,2696,4092879,Absent kidney,outcome
2695,2696,436634,Acariasis,outcome
2695,2696,44783954,Acid reflux,outcome
2695,2696,75911,Acquired hallux valgus,outcome
2695,2696,137951,Acquired keratoderma,outcome
2695,2696,77965,Acquired trigger finger,outcome
2695,2696,376707,Acute conjunctivitis,outcome
2695,2696,4103640,Amputated foot,outcome
2695,2696,432595,Amyloidosis,outcome
2695,2696,73241,Anal and rectal polyp,outcome
2695,2696,437082,Ankylosing spondylitis,outcome
2695,2696,77650,Aseptic necrosis of bone,outcome
2695,2696,378424,Astigmatism,outcome
2695,2696,374923,Bell's palsy,outcome
2695,2696,4110709,Benign epithelial neoplasm of skin,outcome
2695,2696,133655,Burn of forearm,outcome
2695,2696,73560,Calcaneal spur,outcome
2695,2696,434327,Cannabis abuse,outcome
2695,2696,4213540,Cervical somatic dysfunction,outcome
2695,2696,381581,Chalazion,outcome
2695,2696,140842,Changes in skin texture,outcome
2695,2696,438531,Chondromalacia,outcome
2695,2696,81378,Chondromalacia of patella,outcome
2695,2696,4201390,Colostomy present,outcome
2695,2696,46269889,Complication due to Crohn's disease,outcome
2695,2696,134438,Contact dermatitis,outcome
2695,2696,78619,Contusion of knee,outcome
2695,2696,201606,Crohn's disease,outcome
2695,2696,260134,Croup,outcome
2695,2696,76786,Derangement of knee,outcome
2695,2696,4115402,Difficulty sleeping,outcome
2695,2696,443767,Disorder of eye due to diabetes mellitus,outcome
2695,2696,45757370,Disproportion of reconstructed breast,outcome
2695,2696,433111,Effects of hunger,outcome
2695,2696,441589,Endocarditis,outcome
2695,2696,200775,Endometrial hyperplasia,outcome
2695,2696,433527,Endometriosis (clinical),outcome
2695,2696,73008,Enthesopathy,outcome
2695,2696,4249170,Epicondylitis,outcome
2695,2696,4170770,Epidermoid cyst,outcome
2695,2696,4092896,Feces contents abnormal,outcome
2695,2696,259995,Foreign body in orifice,outcome
2695,2696,4050747,Fracture of upper limb,outcome
2695,2696,196456,Gallstone,outcome
2695,2696,40481632,Ganglion cyst,outcome
2695,2696,4166231,Genetic predisposition,outcome
2695,2696,74855,Genital herpes simplex,outcome
2695,2696,433577,Hammer toe,outcome
2695,2696,441818,Hemangioma,outcome
2695,2696,4231770,Hereditary thrombophilia,outcome
2695,2696,4012570,High risk sexual behavior,outcome
2695,2696,4038835,Hodgkin's disease (clinical),outcome
2695,2696,441788,Human papilloma virus infection,outcome
2695,2696,4254542,Hypopituitarism,outcome
2695,2696,4201717,Ileostomy present,outcome
2695,2696,374375,Impacted cerumen,outcome
2695,2696,140480,Impetigo,outcome
2695,2696,4344500,Impingement syndrome of shoulder region,outcome
2695,2696,139099,Ingrowing nail,outcome
2695,2696,444132,Injury of knee,outcome
2695,2696,434926,Iridocyclitis,outcome
2695,2696,196168,Irregular periods,outcome
2695,2696,75576,Irritable bowel syndrome,outcome
2695,2696,432593,Kwashiorkor,outcome
2695,2696,434203,Late effect of contusion,outcome
2695,2696,438329,Late effect of motor vehicle accident,outcome
2695,2696,443285,Lesion of cervix,outcome
2695,2696,195873,Leukorrhea,outcome
2695,2696,440638,Lyme disease,outcome
2695,2696,4083487,Macular drusen,outcome
2695,2696,4156115,Malignant neoplasm of endocrine gland,outcome
2695,2696,4103703,Melena,outcome
2695,2696,4134455,Mononeuropathy,outcome
2695,2696,4209423,Nicotine dependence,outcome
2695,2696,377572,Noise effects on inner ear,outcome
2695,2696,136368,Non-toxic multinodular goiter,outcome
2695,2696,40480893,Nonspecific tuberculin test reaction,outcome
2695,2696,4215978,Onychomycosis,outcome
2695,2696,140648,Onychomycosis due to dermatophyte,outcome
2695,2696,438130,Opioid abuse,outcome
2695,2696,75354,Osteochondropathy,outcome
2695,2696,4091513,Passing flatus,outcome
2695,2696,4112731,Polyp of intestine,outcome
2695,2696,4202045,Postviral fatigue syndrome,outcome
2695,2696,373478,Presbyopia,outcome
2695,2696,46286594,Problem related to lifestyle,outcome
2695,2696,439790,Psychalgia,outcome
2695,2696,81634,Ptotic breast,outcome
2695,2696,4087647,Rectal mass,outcome
2695,2696,380706,Regular astigmatism,outcome
2695,2696,438688,Sarcoidosis,outcome
2695,2696,4169984,Scar,outcome
2695,2696,141932,Senile hyperkeratosis,outcome
2695,2696,254443,Sjögren's syndrome,outcome
2695,2696,36713918,Somatic dysfunction of lumbar region,outcome
2695,2696,443172,"Splinter of face, without major open wound",outcome
2695,2696,81151,Sprain of ankle,outcome
2695,2696,72748,Strain of rotator cuff capsule,outcome
2695,2696,378427,Tear film insufficiency,outcome
2695,2696,134461,Tietze's disease,outcome
